subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CDMS-10-4A-JURAN,-0.1701435749262716,-0.10036415546294328,-0.3577928423195489,0.1279177006450337,6,13.941058569377699
CDMS-10-5A-HEPIHO,-0.1972071897799133,-0.2719598784194012,-0.28173346615685424,-0.37637784188631257,25,13.314163065198954
CDMS-10-5A-KSRAGU,-0.11422943118403184,-0.3311909040173313,-0.35388208688065226,0.18957301528844606,19,13.831712034647872
CDMS-10-5A-SROPU,0.33918371884130805,-0.3813958400495018,-0.473379592900345,0.21119141509722505,19,14.137041142430125
CDMS-10-5A-SZURO,-0.11727059073667916,-0.2528149009867607,-0.5385487182854123,-0.08435288426693825,12,13.448454347165642
CDMS-10-5B-SRAJA,0.14197320542692937,-0.3382681024949977,-0.37841862759801753,0.2263798457848241,30,14.093107762560185
CDMS-10-5C-DAAUSA,-0.11276857463041638,-0.36965567427903734,-0.3818314417101156,0.008604101779658514,18,13.585789852601529
CDMS-10-5C-ICAPA,0.5666149774704877,-0.28817531157344217,-0.24148460113983122,0.1898956709183875,16,14.668292177117053
CDMS-10-5C-JFALGI,-0.13531286082357616,-0.23235396828515212,-0.20425837019484158,-0.2821164096267069,19,13.587399832511164
CDMS-10-5C-NBEMO,0.04689656580168479,0.02913250664398025,1.2753067655293289,0.002895999376175993,22,15.795673278792608
CDMS-10-6B-ASCACO,-0.1206590613025966,3.278004822654341,0.019531780924763528,0.16113703506997012,14,17.779456018787915
CDMS-10-6B-JJMOBE,-0.07094250488699651,-0.12436459316616877,-0.032454479821988125,0.04240557709876143,13,14.256085440665059
CDMS-11-5A-EAARCA,-0.15932942272548226,-0.03728234698088271,0.6240504202782045,0.14807641283370893,26,15.016956504846974
CDMS-11-5A-MGTHAR,-0.12658010442040485,-0.37869651276522576,-0.25983522771367584,-0.22131798694450444,16,13.45501160959763
CDMS-11-6A-DFVEBE,-0.13129559112260036,-0.37356310731278586,-0.43174307089239516,-0.03029090780095031,7,13.47454876431271
CDMS-11-6A-NMREPR,-0.06657487926398571,-0.26011034848205344,-0.24768386450982127,0.17740267122930597,23,14.044475020414895
